ID,Ca,Y,EA,s@300,logs@300
158,48,4,0.413455605,6.10E-06,-5.214670165
159,48,8,0.439147311,2.91E-06,-5.536107011
160,48,12,0.447892536,2.26E-06,-5.645891561
161,48,16,0.412524501,6.59E-06,-5.181114585
162,48,20,0.452818054,1.96E-06,-5.707743929
163,48,24,0.445601505,2.33E-06,-5.632644079
164,48,28,0.457898424,1.58E-06,-5.801342913
165,48,32,0.447249301,2.07E-06,-5.684029655
166,48,36,0.458762028,1.52E-06,-5.818156412
167,48,40,0.469891593,1.09E-06,-5.962573502
168,48,44,0.477979686,8.13E-07,-6.089909454
169,48,48,0.465418723,1.17E-06,-5.931814138
